material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	material_gathering_id	evidence_for_occurrence_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
ECOSUR-SC:ECOAB:1152	Organism			ECOSUR-SC				ECOAB		1152	ECOSUR-SC:ECOAB:1152								79aebcc3-bc7d-4a3f-88d7-86e3366bbc15	c86e35ba-ba23-40a6-9344-778344490f2c					
ECOSUR-SC:ECOAB:1153	Organism			ECOSUR-SC				ECOAB		1153	ECOSUR-SC:ECOAB:1153								599ff94a-9dfa-44e3-867b-40e62ad0bc80	579f8622-144b-4d4e-ba1c-9a9f2dc12e72					
ECOSUR-SC:ECOAB:1166	Organism			ECOSUR-SC				ECOAB		1166	ECOSUR-SC:ECOAB:1166								84bdd6c7-3bbc-4e6d-a0e3-0f0e4f9ce896	baadd2b0-76cc-411a-acfe-b0b4313a2669					
ECOSUR-SC:ECOAB:1168	Organism			ECOSUR-SC				ECOAB		1168	ECOSUR-SC:ECOAB:1168								bb0f63e3-4eae-40d5-a08c-639f0550d6ff	2682ed72-1fd9-459a-baa3-ea1e815122ed					
ECOSUR-SC:ECOAB:1169	Organism			ECOSUR-SC				ECOAB		1169	ECOSUR-SC:ECOAB:1169								cd3ce3bd-b487-4372-b1e4-e839c37ebccc	47cf3012-b7d3-447b-8012-26284158c8fa					
ECOSUR-SC:ECOAB:1172	Organism			ECOSUR-SC				ECOAB		1172	ECOSUR-SC:ECOAB:1172								1fcd8fb1-fe50-440d-a3e8-5f4ab2057285	824887e7-745c-4846-878e-a808b9a357d9					
ECOSUR-SC:ECOAB:1173	Organism			ECOSUR-SC				ECOAB		1173	ECOSUR-SC:ECOAB:1173								ec630633-e335-4cad-8065-d4667e638598	9d909ec2-9882-4b9d-a4b8-756ed0d59edb					
ECOSUR-SC:ECOAB:1174	Organism			ECOSUR-SC				ECOAB		1174	ECOSUR-SC:ECOAB:1174								8315e431-fcd1-44d9-b715-665d573428ce	d2c31956-75e7-4fa9-b0b9-8935f8c2420e					
ECOSUR-SC:ECOAB:1175	Organism			ECOSUR-SC				ECOAB		1175	ECOSUR-SC:ECOAB:1175								86a6f771-9e19-4718-8681-ea5aa1129c8b	19a79e5d-dfc2-4211-b553-505307d8a73d					
ECOSUR-SC:ECOAB:1176	Organism			ECOSUR-SC				ECOAB		1176	ECOSUR-SC:ECOAB:1176								475dcacb-ff8e-4f9c-9b08-0b7dad0494ba	3e68687b-cd06-4f9e-ade8-6e203a06fdf4					
ECOSUR-SC:ECOAB:1178	Organism			ECOSUR-SC				ECOAB		1178	ECOSUR-SC:ECOAB:1178								6a2996c2-cb20-463f-99c2-6564efed09c4	dc705f51-e261-4d4b-9b8b-6820efa0cd24					
ECOSUR-SC:ECOAB:11939	Organism			ECOSUR-SC				ECOAB		11939	ECOSUR-SC:ECOAB:11939								a1cc26e2-8681-4032-b875-2cf68e65a3ec	314a9ba4-bbf6-44ba-be4d-a8ba77f85164					
